fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
collector.org;smtp.mail.com:465;%EMAILADDRESS%
comic.com;smtp.mail.com:465;%EMAILADDRESS%
cocoa.plala.or.jp;cocoa.mail.plala.or.jp:587;%EMAILLOCALPART%
compuserve.com;smtp.aol.com:465;%EMAILADDRESS%
coda.plala.or.jp;coda.mail.plala.or.jp:587;%EMAILLOCALPART%
clustermail.de;mail.clustermail.de:587;%EMAILADDRESS%
consultant.com;smtp.mail.com:465;%EMAILADDRESS%
co2.wind.ne.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
cliffhanger.com;smtp.mail.com:465;%EMAILADDRESS%
contractor.net;smtp.mail.com:465;%EMAILADDRESS%
co3.wind.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
coastalnow.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
comcast.net;smtp.comcast.net:465;%EMAILADDRESS%
btopenworld.com;mail.btinternet.com:465;%EMAILADDRESS%
counsellor.com;smtp.mail.com:465;%EMAILADDRESS%
cochill.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
corp.mail.ru;smtp.mail.ru:465,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
coolsite.net;smtp.mail.com:465;%EMAILADDRESS%
columnist.com;smtp.mail.com:465;%EMAILADDRESS%
count.com;smtp.mail.com:465;%EMAILADDRESS%
computer4u.com;smtp.mail.com:465;%EMAILADDRESS%
cs.com;smtp.aol.com:465;%EMAILADDRESS%
cream.plala.or.jp;cream.mail.plala.or.jp:587;%EMAILLOCALPART%
coral.broba.ccv;mail.broba.cc:587;%EMAILADDRESS%
cutey.com;smtp.mail.com:465;%EMAILADDRESS%
cswnet.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
cyberjunkie.dk;mail.telenor.dk:587;%EMAILADDRESS%
cyberdude.com;smtp.mail.com:465;%EMAILADDRESS%
dan.wind.co.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
couple.com;smtp.mail.com:465;%EMAILADDRESS%
concerto.plala.or.jp;concerto.mail.plala.or.jp:587;%EMAILLOCALPART%
courante.plala.or.jp;courante.mail.plala.or.jp:587;%EMAILLOCALPART%
dan.wind.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
cpost.plala.or.jp;cpost.mail.plala.or.jp:587;%EMAILLOCALPART%
